offence_year,offence_category,age_group,ticket_count
2018,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2018,Distracted Driving,Youth,2
2017,Distracted Driving,Youth,1
2018,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,2
2021,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2021,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,2
2016,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2019,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,1
2021,Distracted Driving,Youth,3
2014,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,1
2019,Distracted Driving,Youth,1
2018,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,2
2017,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2019,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,1
2019,Distracted Driving,Youth,2
2020,Distracted Driving,Youth,2
2018,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,1
2018,Distracted Driving,Youth,2
2016,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,1
2018,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2018,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,1
2020,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,1
2019,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2020,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2019,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2019,Distracted Driving,Youth,2
2018,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,2
2021,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2018,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2021,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,2
2015,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,1
2018,Distracted Driving,Youth,1
2019,Distracted Driving,Youth,1
2019,Distracted Driving,Youth,2
2019,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,1
2021,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2021,Distracted Driving,Youth,1
2019,Distracted Driving,Youth,1
2018,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,2
2022,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2019,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,1
2021,Distracted Driving,Youth,1
2019,Distracted Driving,Youth,1
2018,Distracted Driving,Youth,3
2022,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,1
2019,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,1
2020,Distracted Driving,Youth,2
2019,Distracted Driving,Youth,1
2020,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,6
2014,Distracted Driving,Youth,1
2020,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,1
2021,Distracted Driving,Youth,1
2018,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2018,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,2
2022,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,1
2021,Distracted Driving,Youth,1
2020,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,3
2018,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,2
2017,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,1
2018,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2019,Distracted Driving,Youth,1
2014,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,1
2020,Distracted Driving,Youth,1
2021,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,1
2019,Distracted Driving,Youth,1
2015,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,2
2022,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,1
2016,Distracted Driving,Youth,2
2021,Distracted Driving,Youth,1
2022,Distracted Driving,Youth,2
2019,Distracted Driving,Youth,1
2017,Distracted Driving,Youth,1
